JAN,TIME,MAKER,NAME
4901990323192,1,東洋水産,俺の塩
4901990325189,5,東洋水産,"黒い豚カレーうどん
"
4901990522731,5,東洋水産,"赤いきつねうどん（東向け）
"
4901990522731,5,東洋水産,"赤いきつねうどん（北海道）
"
4901990526470,5,東洋水産,"赤いきつねうどん でか盛（東向け）
"
4901990526470,5,東洋水産,"赤いきつねうどん　でか盛（西向け）
"
4901990527866,5,東洋水産,"赤いきつねうどん（西向け）
"
4901990527866,5,東洋水産,"赤いきつねうどん（関西）
"
4902105210871,3,日清食品,"カップヌードル チーズクリームシチューヌードル
"
4902105214077,5,日清食品,日清ラ王 背脂コク醤油
4902105214084,5,日清食品,"日清ラ王 香熟コク味噌
"
4902105214237,5,日清食品,"日清ラ王 旨み豚骨醤油
"
4902105214466,2,日清食品,日清ラ王 濃熟とろ豚骨
4902105214794,5,日清食品,冬味ラ王 鶏炊き白湯
4902105216163,1,日清食品,"日清生タイプSpa王 たらこ
"
4902105216170,1,日清食品,"日清生タイプSpa王 ペペロンチーノ

"
4902105216231,1,日清食品,"日清生タイプSpa王 ナポリタン


"
